2011-01-13 00:00:00,Target Declares Regular Quarterly Dividend
2011-02-03 00:00:00,Target Comments On FY 2011 Comparable Same Store Sales Guidance
2011-04-05 00:00:00,Target Reaffirms April 2011 Comparable Store Sales Call
2011-06-08 00:00:00,Target Increases Regular Quarterly Dividend
2011-07-13 00:00:00,Target Preparing Benchmark Sized Three Year Note
2011-09-01 00:00:00,Target Comments On September 2011 Comparable Store Sales Call
2011-09-14 00:00:00,Target Declares Regular Quarterly Dividend
2012-01-12 00:00:00,Target Declares Regular Quarterly Dividend
2012-02-01 00:00:00,Target Announces Agreement With Fairweather Ltd
2012-06-13 00:00:00,Target Increases Regular Quarterly Dividend
2012-10-15 00:00:00,The Zacks Analyst Blog Urban Sears Wal
2012-10-16 00:00:00,TARGET CORPORATION Target and Neiman Marcus Reveal Highly
2012-10-17 00:00:00,TARGET CORPORATION San Second CityTarget Opening October
2012-10-22 00:00:00,TARGET CORPORATION Target Announces Partnership with Designer Prabal
2012-10-25 00:00:00,TARGET CORPORATION Target Partners with Professional Freeskier Rosalind
2012-11-02 00:00:00,Target Stock Rating Reaffirmed by Piper Jaffray
2012-11-05 00:00:00,JP Morgan Analysts Upgrades Expects Growth Over the Next Two Years
2012-11-06 00:00:00,Target and the Toronto Fashion Incubator partner for 2013 TFI New Labels
2012-11-08 00:00:00,Closer Vringo Now Stands To Earn Over Million In
