2010-12-06 00:00:00,Torchmark Corporation Declares Dividend
2011-01-10 00:00:00,Fitch Affirms Ratings for Torchmark Corporation
2011-02-09 00:00:00,Torchmark Corporation Issues FY 2011 EPS Guidance In Line With Estimates
2011-04-26 00:00:00,Torchmark Corporation Reaffirms FY 2011 EPS Guidance
2011-10-26 00:00:00,Torchmark Corporation Narrows FY 2011 EPS Guidance To A Range In Line With Issues FY 2012 EPS Guidance In Line With Estimates
2012-02-06 00:00:00,Torchmark Corporation Issues FY 2012 EPS Guidance In Line With Estimates
2012-04-24 00:00:00,Torchmark Corporation Reaffirms FY 2012 EPS Guidance
2012-06-19 00:00:00,Torchmark Corporation Declares Dividend
2012-08-01 00:00:00,Torchmark Corporation To Acquire Family Heritage Life Insurance Company Of America
2012-09-18 00:00:00,Torchmark Corp Prices Senior Notes and Junior Subordinated Debentures Offerings
2012-10-17 00:00:00,Torchmark Corporation Announces Third Quarter 2012 Earnings Release And
2012-10-24 00:00:00,Earnings ANGI
2012-11-06 00:00:00,Indicated Dividend Yield Ranking for the 500 by Industry
