2010-12-06 00:00:00,Torchmark Corporation Declares Dividend
2011-01-04 00:00:00,Torchmark Liberty National Life Insurance Company Announces Closing of United Investors Sale
2011-01-10 00:00:00,Fitch Affirms Ratings for Torchmark Corporation
2011-02-09 00:00:00,Torchmark Corporation Issues FY 2011 EPS Guidance In Line With Estimates
2011-03-02 00:00:00,Torchmark Corporation Declares Dividend
2011-05-02 00:00:00,Torchmark Corporation Declares Dividends
2011-07-27 00:00:00,Torchmark Corporation Issues FY 2011 EPS Guidance Above Estimates
2011-08-12 00:00:00,Torchmark Corporation Raises Dividend
2012-06-19 00:00:00,Torchmark Corporation Declares Dividend
2012-07-25 00:00:00,Torchmark Corporation Issues FY 2012 EPS Guidance In Line With Estimates
2012-08-09 00:00:00,Torchmark Corp Declares Dividend
2012-10-19 00:00:00,10 Stocks Reporting Earnings Next Week Undervalued by Graham and Cash Flow
2012-10-25 00:00:00,Ratings Reiterations for 25th AIZ
2012-10-26 00:00:00,Assurant Revenue Rises Analyst Blog
2012-11-06 00:00:00,Indicated Dividend Yield Rankings of 500 Companies
