2011-01-13 00:00:00,Unum Group Declares Quarterly Dividend
2011-02-02 00:00:00,Unum Board Of Directors Authorizes Additional Billion Share Repurchase
2011-02-04 00:00:00,Unum Group Announces Accelerated Share Repurchase
2011-04-11 00:00:00,Unum Group Declares Quarterly Dividend Of Per Share Of Common Stock
2011-05-03 00:00:00,Unum Group Reaffirms FY 2011 Earnings Guidance
2011-07-06 00:00:00,Unum Group Announces Chairman Change
2012-01-17 00:00:00,Unum Group Declares Quarterly Dividend
2012-02-06 00:00:00,Unum Group Reaffirms FY 2012 Earnings Guidance
2012-05-01 00:00:00,Unum Group Reaffirms FY 2012 EPS Guidance
2012-07-16 00:00:00,Unum Group Declares Quarterly Dividend Of Per Share Of Common Stock
2012-08-23 00:00:00,Unum Group Completes Senior Notes Offering
2012-10-15 00:00:00,upholds securities rating
2012-10-18 00:00:00,Stocks With Over Yields Going The Fourth Week Of October
2012-10-23 00:00:00,Top 4 NYSE Stocks In The Accident Health Insurance Industry With The
2012-10-24 00:00:00,X 5 Stocks Reaching Their Date on October 25
2012-10-26 00:00:00,Assurant Revenue Rises Analyst Blog
2012-10-31 00:00:00,Wall Street Raring To Unfazed By Destructive Trail
2012-11-01 00:00:00,Stocks to BMC Ellie Mae
2012-11-02 00:00:00,Equities Research Ratings Reiterations for 2nd
2012-11-05 00:00:00,Equity Research on AFLAC and Unum Group Accident and Health
