2010-11-30 00:00:00,Virgin Media Declares Dividend
2011-02-24 00:00:00,Virgin Media Sets Pricing On GBP750 Million Equivalent 2021
2011-03-04 00:00:00,Virgin Media Declares Dividend
2011-05-19 00:00:00,Virgin Media Declares Quarterly Cash Dividend
2012-02-29 00:00:00,Virgin Media Virgin Media Finance PLC Announces Pricing Of USD500 Million Aggregate Principal Amount Of Senior Notes Due 2022
2012-08-21 00:00:00,Virgin Media Inc Announces Payment Of Quarterly Cash
2012-10-10 00:00:00,Virgin Media Announces Cash Tender Offer for up to billion Senior Notes
2012-10-12 00:00:00,Highs Coventry Sycamore Virgin Media
2012-10-19 00:00:00,Jefferies Group Sets Virgin Media Price Target at
2012-10-25 00:00:00,Virgin Media Inc Announces Pricing Of Million and Million Aggregate Principal Amount of Senior Notes Due 2022
2012-10-26 00:00:00,Bears Tune Into Virgin Media
