2011-02-23 00:00:00,Reaffirms FY 2011 EPS Declares Quarterly Cash Announces Share Repurchase Authorization Of billion For 2011
2011-05-13 00:00:00,Reaffirms FY 2011 EPS Comments On Long Term EPS Call
2011-05-17 00:00:00,Declares Second Quarter 2011 Dividend
2011-06-06 00:00:00,Reaffirms FY 2011 Reaffirms Log Term EPS Call
2011-06-08 00:00:00,To Acquire CareMore Health Group
2011-07-18 00:00:00,Court Grants Preliminary Approval To WellPoint Inc
2011-07-27 00:00:00,WellPoint Inc Declares Third Quarter 2011 Dividend
2011-12-05 00:00:00,Verizon Communications Verizon Wireless And Collaborate to Make Healthcare Management Simpler Via Mobile Technology
2012-01-25 00:00:00,WellPoint Inc Issues FY 2012 Guidance In Line With Increases Quarterly Dividend
2012-03-05 00:00:00,WellPoint Inc Reaffirms FY 2012 EPS Call
2012-04-25 00:00:00,WellPoint Inc Raises FY 2012 Guidance
2012-05-16 00:00:00,WellPoint Inc Declares Second Quarter 2012 Dividend
2012-06-04 00:00:00,Fenway Partners To Sell CONTACTS To WellPoint Inc
2012-06-20 00:00:00,WellPoint Inc Completes Acquisition Of
2012-07-25 00:00:00,WellPoint Inc Lowers FY 2012 Guidance
2012-08-24 00:00:00,AMERIGROUP Corp Says Antitrust Clearance For Deal
2012-08-28 00:00:00,WellPoint Chairman And Chief Executive Officer Angela Braly Steps Down
2012-10-12 00:00:00,WellPoint Reorganize in Interim First Major Move
2012-10-23 00:00:00,AMERIGROUP Corp Announces Stockholder Approval Of Merger Agreement With
2012-11-07 00:00:00,WellPoint Inc Declares Fourth Quarter 2012 Dividend
