2010-11-16 00:00:00,Xcel Energy Subsidiary Public Service Company Of Colorado Announces Debt Financing
2010-12-06 00:00:00,Calpine Corporation Completes Sale Of Colorado Plants To Xcel Energy
2010-12-15 00:00:00,Xcel Energy Declares Quarterly Common Dividend
2010-12-29 00:00:00,Xcel Energy And Xtreme Power Partner With SolarTAC On Distribution Project
2011-05-11 00:00:00,Xcel Energy Reaffirms FY 2011 EPS Call
2011-05-18 00:00:00,Xcel Energy Declares Quarterly Common Dividend
2011-07-28 00:00:00,Xcel Energy Reaffirms FY 2011 EPS Guidance
2011-08-10 00:00:00,Xcel Energy Southwestern Public Service Company Announces Debt Financing
2011-09-19 00:00:00,Xcel Energy Announces Appointment Of Chief Financial Officer
2011-12-14 00:00:00,Xcel Energy Declares Quarterly Common Dividend
2012-02-02 00:00:00,Xcel Energy Sess FY 2012 EPS Guidance At Low End Of Prior Range
2012-04-26 00:00:00,Xcel Energy Reaffirms FY 2012 EPS Guidance
2012-06-12 00:00:00,Xcel Energy Southwestern Public Service Company Announces Debt Financing
2012-08-02 00:00:00,Xcel Energy Sees FY 2012 EPS Guidance At Lower Half Of Prior Range
2012-08-22 00:00:00,Xcel Energy Inc Declares Dividend on Common Stock
2012-09-05 00:00:00,Xcel Energy Inc Reaffirms FY 2012 EPS Call
2012-09-11 00:00:00,Xcel Energy Subsidiary Public Service Company of Colorado Announces Debt Financing
2012-10-10 00:00:00,Xcel Energy Northern States Power Co Announces Close Of Debt Financing
2012-10-22 00:00:00,Xcel Energy Third Quarter Earnings Sneak Peek
2012-10-23 00:00:00,XCEL ENERGY INC Prairie Island Unit 1 begins refueling outage
2012-10-24 00:00:00,Xcel Energy Stock Rating Reaffirmed by Barclays Capital
2012-11-01 00:00:00,XCEL ENERGY INC Notification of Unusual Event declared at Prairie Island
2012-11-02 00:00:00,Xcel Energy Requests Rate Increase
2012-11-07 00:00:00,XEL Crosses Above Yield Territory
