2011-01-19 00:00:00,Issues Q4 2011 Revenue Guidance Line With Declares Quarterly Cash Dividend
2011-03-14 00:00:00,Raises Quarterly Dividend Per Diluted Share
2011-07-20 00:00:00,Issues Q3 2012 Revenue Guidance Below Announces Quarterly Cash Dividend
2011-10-19 00:00:00,Declares Cash Dividend
2011-12-19 00:00:00,Lowers Q3 2012 Revenue Guidance
2012-01-18 00:00:00,Issues Q4 2012 Revenue Guidance Above Estimate
2012-03-13 00:00:00,Raises Quarterly Dividend
2012-07-18 00:00:00,Issues Q2 2013 Revenue Guidance Below Estimates
2012-08-28 00:00:00,Xilinx Inc Acquires PetaLogix
2012-10-10 00:00:00,Xilinx Stock Rating Reaffirmed by Barclays Capital
2012-10-17 00:00:00,Xilinx Inc Announces Quarterly Cash Dividend
2012-10-18 00:00:00,Analyst and Apple
2012-11-01 00:00:00,Xcell Journal Issue 81 Looks at How Xilinx is a Generation Ahead at 28nm
