2010-12-17 00:00:00,Energy XXI Limited Closes Acquisition of Gulf of Mexico Shelf Properties From Exxon Mobil Corporation
2011-01-26 00:00:00,Exxon Mobil Corporation Declares First Quarter Dividend
2011-05-11 00:00:00,Exxon Mobil Corporation Announces Plans for Exploration Well on Faroes Licence 006 Brugdan 2
2011-06-08 00:00:00,GAIL Limited And Oil Natural Gas Corporation Limited Working On Buying Stake in Exxon Mobil Oil
2011-08-03 00:00:00,Honeywell International UOP LLC And Exxon Mobil ExxonMobil Research Engineering Company Announces Licensing Alliance
2011-09-22 00:00:00,Venezuela Aims To Pay Exxon Mobil Corporation Billion In
2011-11-30 00:00:00,Neftyanaya kompaniya LUKOIL OAO In Talks To Replace Exxon Mobil Corporation At West With Royal Dutch Shell
2012-01-25 00:00:00,Exxon Mobil Corporation Declares First Quarter Dividend
2012-04-16 00:00:00,NK Exxon Mobil Corporation To Sign Strategic
2012-04-25 00:00:00,Exxon Mobil Corp Declares Second Quarter Dividend
2012-06-01 00:00:00,Exxon Mobil Corp Plans New Chemical
2012-06-21 00:00:00,Exxon Mobil Corp To Reconfigure UK Close Crude
2012-06-22 00:00:00,NK OAO in talks to join Exxon Mobil Corp in
2012-10-19 00:00:00,PTT Exploration and Production PCL Joins Exxon Mobil Corporation And Consortium To Replace Petroliam Nasional Bhd In
2012-10-31 00:00:00,Exxon Mobil Corp Declares Fourth Quarter Dividend
2012-11-01 00:00:00,Exxon Mobil Q3 Profit But Beats View
2012-11-07 00:00:00,Exxon Mobil wants to pull out of huge oil project in Iraq
