2010-09-30 00:00:00,Dentsply International Inc Announces Cash Dividend
2011-02-09 00:00:00,DENTSPLY International Issues FY 2011 EPS Guidance In Line With Estimates
2011-07-27 00:00:00,DENTSPLY International Declares Cash Dividend
2011-08-16 00:00:00,DENTSPLY International To Sell Benchmark Debt Offer To Fund Astra Tech
2012-05-02 00:00:00,DENTSPLY International Reaffirms FY 2012 EPS Call
2012-07-31 00:00:00,DENTSPLY International Lowers FY 2012 EPS Guidance
2012-10-02 00:00:00,Dentsply International Inc Declares Cash Dividend
2012-10-10 00:00:00,DENTSPLY International Schedules Third Quarter Fiscal 2012 Earnings
2012-10-18 00:00:00,Align Technology Stock Plunges on Fourth Quarter Bumpy
2012-10-19 00:00:00,Goldman Sachs Gives Neutral Rating to DENTSPLY International
2012-10-22 00:00:00,Stock Porsche Poised to
2012-10-23 00:00:00,Stock Three Three Sells for October 23
2012-10-26 00:00:00,National Oshkosh earnings Dentsply reports decline
2012-10-31 00:00:00,DENTSPLY International Stock Rating Reaffirmed by Zacks
