2011-01-27 00:00:00,Zimmer Issues FY 2011 Guidance In Line With Estimates
2011-02-18 00:00:00,Zimmer Receives FDA Clearance For Trabecular Metal Cervical Interbody Fusion Device
2011-04-28 00:00:00,Zimmer Reaffirms FY 2011 Guidance
2011-05-11 00:00:00,Zimmer Announces Lawsuit Filed by Genzyme Corporation
2011-07-27 00:00:00,Zimmer Lowers FY 2011 Revenue Raises Low End Of Prior FY 2011 EPS Guidance To A Range In Line With Estimates
2011-09-14 00:00:00,Zimmer Receives Pediatric Clearance For Universal Clamp Spinal Fixation System
2011-10-27 00:00:00,Zimmer Lowers FY 2011 Revenue Raises High End Of Prior FY 2011 EPS Guidance To A Range In Line Estimates
2011-11-10 00:00:00,Zimmer Announces Acquisition of XtraFix External Fixation System
2012-01-26 00:00:00,Zimmer Comments On FY 2012 Revenue Issues FY 2012 EPS Guidance In Line With Estimates
2012-04-26 00:00:00,Zimmer Reaffirms FY 2012 Guidance
2012-06-15 00:00:00,Zimmer Announces Quarterly Dividend For Second Quarter Of 2012
2012-07-26 00:00:00,Zimmer Updates FY 2012 Revenue Narrows FY 2012 EPS Guidance To A Range In Line With Estimates
2012-09-14 00:00:00,Zimmer Holdings Inc Announces Quarterly Dividend for Third Quarter of 2012
2012-10-10 00:00:00,Hot Stocks
2012-10-12 00:00:00,Zimmer Holdings Announces Live Audio Webcast and Conference Call of Third
2012-10-15 00:00:00,See How Zimmer Holdings Ranks Among Top Picks With Strong
2012-10-16 00:00:00,The Zacks Analyst Blog Stryker and
2012-10-25 00:00:00,Zimmer Holdings Inc Lowers FY 2012 Revenue Narrows FY 2012 EPS Guidance To A Range In Line With Estimates
